Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict
2339,1,994,1123,917,20879,15281,2922
1883,818,3897,1,13,20880,3353,7443
7622,1061,5780,7,113,20944,5855,7000
1112,6193,5788,205,342,20964,17755,103
2725,6394,6079,213,8771,20965,11988,6421
725,6399,161,222,274,20966,6919,6464
13638,3,5798,176,303,20967,95,6085
8383,2,6676,169,316,21308,12415,7108
1566,3,6679,243,9040,21316,3363,6169
2432,1060,3922,144,288,21353,19414,6976
4225,4,5546,203,76,21523,554,3303
394,3,5808,31,78,21748,10233,7800
704,2,5813,39,122,21749,2004,7193
4094,1,6518,1106,94,21751,12835,7210
724,6184,6683,547,212,21855,8168,5842
3485,6391,5833,194,128,21928,16025,6081
159,6392,5838,138,224,21929,8069,7910
506,5,5842,1113,378,21930,1964,4580
3590,3,5557,45,278,21931,2189,4023
1111,6,5847,42,8305,21932,2668,6414
264,4,6689,8,407,21933,5644,6082
263,3,5852,1107,319,22177,33,7824
1,1,5239,195,4170,22469,18299,6911
5937,759,6432,16,4150,22582,19465,6313
2736,780,6693,93,33,22792,5185,6602
239,781,6698,184,8568,22813,14401,6410
18655,1011,6109,10,302,22815,5835,8133
4391,6185,6702,6,9776,22816,418,6497
9346,6186,5861,186,756,22835,5983,2634
4390,6187,1657,106,354,22837,17881,1914
5936,6188,6708,3,472,22843,1166,6086
19976,6189,6713,7,847,22897,1716,7767
8323,6190,5878,16,99,22955,8701,6439
7529,6191,5890,8503,430,23100,3865,8123
238,5,5902,2,974,23131,3898,2207
5012,4,6718,4,489,23133,17319,6477
1,1,5921,8,377,23134,11168,7941
2210,1,4888,895,584,23135,252,1915
13127,807,5926,16,585,23136,4961,2304
8577,8018,5930,46,127,23137,18594,7724
11524,8021,5939,2,3055,23138,2376,5811
17254,8022,6723,1110,8824,23139,8354,6489
9891,1,6727,12,454,23140,5705,7745
820,2,48,1115,176,23141,7509,7623
3930,4,5949,4,520,23142,18154,6912
1,5,5953,807,446,23143,4871,953
6471,6146,5977,1132,556,23144,14818,3314
2593,8,6731,7,688,23145,2339,5809
6470,7,1526,5,700,23146,9947,7616
8555,6,5985,9,588,23147,2971,2023
11876,4,6502,2845,760,23148,5095,3327
2592,3,5992,1847,668,23149,7210,7435
11028,2,5997,1,811,23150,9376,6469
3368,3,6130,29,5216,23151,3894,4931
17529,3898,4,2271,484,23152,3787,6083
1075,6144,3116,2884,862,23153,8356,5274
1,5,6737,2239,878,23154,11180,7267
12493,4,1803,2260,923,23155,2904,1924
12492,3,6008,7499,3019,23156,8276,7282
15092,1,6744,17,415,23157,7690,7966
4955,6144,2170,8,433,23158,8714,735
527,1,1113,2367,487,23159,5997,7702
3137,1,6144,576,509,23160,4394,5232
