Normal,Gorder,RCM,Rabbit,Grappolo,Slashburn,Random,RCM Strict
79,5,26,1,16,53,402,30
1,26,1,1,53,88,907,26
1,2,47,1,162,115,8,15
78,1,70,6,1,121,914,12
128,1,75,24,2,49,89,41
331,7,23,1,3,68,403,54
1,3,7,1,4,71,82,7
1,1,81,18,5,72,377,50
53,2,6,8,1,13,189,19
1,3,61,1,50,48,187,97
709,1,42,5,67,58,378,75
54,2,48,11,68,66,92,77
2,3,30,15,1,30,153,47
103,3,36,8,3,42,308,32
3,1,40,1,4,46,361,10
1,1,54,14,52,15,88,18
49,2,10,3,46,33,327,9
2,2,73,37,50,34,88,58
52,1,54,1,42,6,103,59
2,1,50,2,54,12,380,36
364,1,2,1,1,17,742,5
365,303,10,22,2,4,213,18
1,1,33,175,3,6,513,2
1,1,31,6,37,9,576,49
51,1,35,1,2,1,263,3
47,2,72,3,229,3,289,104
1,2,48,1,10,1,190,81
2,2,14,244,2,3,263,20
3,2,20,3,3,1,277,19
1,2,23,33,4,1,343,18
4,1,26,2,5,1,285,41
5,1,56,260,4,1,844,50
422,203,46,22,27,1,544,80
423,199,48,288,43,2,434,76
424,1,57,2,37,3,335,44
4,2,68,1,1,3,156,90
5,2,56,1,1,3,112,46
6,3,21,1,33,1,495,29
1,4,29,48,39,6,66,38
7,256,45,1,270,7,696,46
8,148,7,1,1,6,492,69
388,482,101,1,2,7,336,34
389,477,51,1,27,2,491,39
94,308,21,1,1,7,396,64
5,3,25,1,2,2,940,32
3,5,97,1,2,7,20,29
91,2,98,6,3,6,611,54
92,1,1,3,1,6,446,25
776,1,26,1,16,3,268,46
1,1,46,1,1,1,170,31
1,1,32,2,2,1,329,16
1,1,18,1,2,1,499,39
1,2,39,20,22,2,160,35
2,757,47,10,16,3,356,15
3,3,51,1,6,2,214,17
1,4,15,1,1,5,252,9
3,1,20,2,3,1,298,10
3,1,15,1,36,1,46,14
4,2,12,1,13,1,1008,17
5,3,11,3,1,1,1092,9
6,2,1,5,1,1,416,5
4,2,8,1,23,5,660,10
5,2,18,4,25,1,174,6
2,3,1,1,24,3,379,4
454,4,8,4,43,3,320,6
578,5,34,2,1,4,738,31
2,7,29,1,1,1,563,23
59,3,33,1,1,1,850,24
3,2,50,1,74,1,82,45
2,5,48,1,261,6,1057,74
1,5,44,4,24,1,54,36
799,5,48,3,32,2,793,48
1,5,51,1,3,2,905,45
2,5,29,1,1,3,20,20
1,6,8,1,2,3,155,2
2,5,86,1,2,2,552,55
2,5,40,2,27,3,721,42
3,5,58,22,37,1,241,21
4,4,59,5,38,1,549,22
1,5,76,2,1,9,224,56
3,5,33,1,1,11,44,33
3,4,70,20,1,11,581,98
4,785,60,2,2,1,396,51
2,5,64,24,3,6,99,36
793,720,6,5,1,7,605,2
2,722,37,2,114,1,344,8
3,723,72,1,4,2,529,8
4,724,79,271,10,2,818,25
2,5,57,563,126,1,116,108
77,1,2,3,265,1,37,3
78,2,54,5,1,1,1016,49
3,780,46,1,3,1,85,7
77,4,39,1,114,1,692,67
77,1,48,2,4,2,545,32
1,1,51,1,5,10,411,39
1,2,53,2,6,5,282,23
1,15,62,1,41,14,588,49
1,2,64,5,42,1,571,20
1,3,10,1,25,3,644,16
2,4,16,304,2,4,228,8
69,4,51,34,4,4,509,55
2,5,89,5,19,14,7,49
3,5,36,4,22,13,87,56
4,5,41,260,23,18,809,31
5,6,33,7,21,1,76,49
6,686,29,2,17,2,732,3
3,689,9,1,39,3,640,74
72,5,49,1,19,4,765,41
73,1,47,3,1,3,327,44
1,441,1,4,1,3,245,2
4,767,63,2,1,11,460,20
5,2,6,2,1,11,428,4
